"Product Code","Product Name",Variant,Expected,Counted
DIA01,"ឥដ្ឋ ប្រហោង",,30.0000,
DIA02,"ឥដ្ឋ តាន់",,0.0000,
DIA03,"ឥដ្ឋ ក្យាច់",,0.0000,
DIB01,"ស៊ីម៉ង់​ បូក",,0.0000,
DIB02,"ស៊ីម៉ង់​ រៀប",,0.0000,
DIC01,"ឥដ្ឋ ការ៉ូ",,0.0000,
DID01,"ថ្នាំលាប (Paint & Coloring)",,0.0000,
DIE01,"ក្តាកុងផ្លាកេ 1220x2440x6mm",,0.0000,
DIE02,"ក្តាកុងផ្លាកេ​ 1220x2440x12mm",,0.0000,
DIE03,"ក្តាកុងផ្លាកេ 1220x2440x18mm",,0.0000,
DIE04,"ក្តាកុងផ្លាកេ 1220x2440x8mm",,0.0000,
DIF01,ក្តាឈើបន្ទះ,,0.0000,
DIF02,ឈើមូល,,0.0000,
DIF03,ឈើជ្រុុង,,0.0000,
DIF04,កូនឈើដើម,,0.0000,
DIG06,ខ្សាច់-ដី,,0.0000,
DIH02,"ថ្ម 2x3",,0.0000,
DIJ01,"សំណាញ់ (Mesh cover net)",,0.0000,
DIM01,"ដែកថ្នាំអំពៅ DB08 x 12M",,0.0000,
DIM02,"ដែកថ្នាំអំពៅ DB10 x 12M",,0.0000,
DIM03,"ដែកថ្នាំអំពៅ DB12 x 12M",,0.0000,
DIM04,"ដែកថ្នាំអំពៅ DB14 x 12M",,0.0000,
DIM05,"ដែកថ្នាំអំពៅ DB16 x 12M",,0.0000,
DIM06,"ដែកថ្នាំអំពៅ DB18 x 12M",,0.0000,
DIM07,"ដែកថ្នាំអំពៅ DB20 x 12M",,0.0000,
DIM08,"ដែកថ្នាំអំពៅ DB22 x 12M",,0.0000,
DIM09,"ដែកថ្នាំអំពៅ DB25 x 12M",,0.0000,
DIM10,"ដែកថ្នាំអំពៅ DB26 x 12M",,0.0000,
DIM11,"ដែកថ្នាំអំពៅ DB28 x 12M",,0.0000,
DIM12,"ដែកថ្នាំអំពៅ DB32 x 12M",,0.0000,
DIN01,"ដែកសសៃរលោង DB12 x 12M",,0.0000,
DIN02,"ដែកសសៃរលោង DB14 x 12M",,0.0000,
DIN03,"ដែកសសៃរលោង DB16 x 12M",,0.0000,
DIP01,"ទីបជ្រុង 20x20mmx1.1-2mm x6m (ស-ខ្នៅ)",,0.0000,
DIP02,"ទីបជ្រុង​​​ 20x40mmx1.1-2mm x6m (ស-ខ្នៅ)",,0.0000,
DIP03,"ទីបជ្រុង​​​ 25X25mm X 1.1-2m x6m (ស-ខ្នៅ)",,0.0000,
DIP04,"ទីបជ្រុង​​​ 25x50mmx1.1-2mm x6m (ស-ខ្នៅ)",,0.0000,
DIP05,"ទីបជ្រុង​​​ 30x30mmx1.1-2mm x6m (ស-ខ្នៅ)",,0.0000,
DIP06,"ទីបជ្រុង​​​ 30X60mmx1.1-2mm x6m (ស-ខ្នៅ)",,0.0000,
DIP07,"ទីបជ្រុង​​​ 40x40mmx1.1-2mm x6m (ស-ខ្នៅ)",,0.0000,
DIP08,"ទីបជ្រុង​​​ 40x80mmx1.1x2mm x6m (ស-ខ្នៅ)",,0.0000,
DIP09,"ទីបជ្រុង​​​ 50x50mmx1.1-2mm x6m (ស-ខ្នៅ)",,0.0000,
DIP10,"ទីបជ្រុង​​​ 50x100mmx1.1-2mm x6m (ស-ខ្នៅ)",,0.0000,
DIP11,"ទីបជ្រុង​​​ 100x100mmx1.1-2mm x6m (ស-ខ្នៅ)",,0.0000,
DIR01,"ទីបមូល 27x1.1-2mm x6m (ស-ខ្នៅ)",,0.0000,
DIR02,"ទីបមូល 34x1.1-2mm x6m (ស-ខ្នៅ)",,0.0000,
DIR03,"ទីបមូល 42x1.1-2mm x6m (ស-ខ្នៅ)",,0.0000,
DIR04,"ទីបមូល 49x1.1-2mm x6m (ស-ខ្នៅ)",,0.0000,
DIS01,"ដែកកង 6-8mm",,0.0000,
DIU01,"លួសចំណង 1mm x 50Kg",,0.0000,
DIV01,"សង្គ័សី Zinc 0.25-3C x1m x2-6m",,0.0000,
