"Product Code","Product Name",Variant,Expected,Counted
SP0001,មូកការពារសុវត្ថភាព-ខៀវ,,0.0000,
SP0002,មួក-លឿង,,55.0000,
SP0003,មួក-ស,,6.0000,
SP0004,វ៉ែនតាផ្សាខ្មៅ,,138.0000,
SP0005,ស្បែកជើងកវែងខ្មៅ,,44.0000,
SP0006,ស្បែកជើងប៉ាតា-កម្មករ,,0.0000,
SP0007,ស្រោមដៃចាក់,,48.0000,
SP0008,ស្រោមដៃជ័រ,,154.0000,
SP0009,ស្រោមដៃផ្សា,,0.0000,
SP0010,ស្រោមជើង,,0.0000,
SP0011,"ខ្មៅដៃ សំរាប់ Servey",,0.0000,
SP0012,ទឹកលុប-ស,,204.0000,
SP0013,ហ្វឹតគូសចំណាំ-ខៀវ,,4.0000,
SP0014,អាវការពារ-ក្រហម,,76.0000,
SP0015,"កញ្ចាប់ចាប់ខ្សែភ្លើងលេខ 415V",,0.0000,
SP0016,"ក្បាលកញ្ចាប់ផ្សា 500AM",,27.0000,
SP0017,"ក្បាលប៊ូឡុងចាប់ស្នែងក្របី 12លី",,0.0000,
SP0018,"ក្រចាប់ខ្សែកាប​-កៅឡាករឹត 12​លី",,0.0000,
SP0019,ក្រចាប់ប៉ុងខ្សែភ្លើង,,0.0000,
SP0020,"ខ្សែពានម៉ូទ័រយោង A36",,0.0000,
SP0021,"ដែកគោលឈើ 3ហ៊ុន​",,0.0000,
SP0022,"ដែកគោលឈើ 4​​ហ៊ុន",,0.0000,
SP0023,"ដែកគោលឈើ 5ហ៊ុន",,2.0000,
SP0024,"ដែកគោលឈើ 6ហ៊ុន",,2.0000,
SP0025,"ដែកគោលឈើ 7ហ៊ុន",,2.0000,
SP0026,"ដែកគោលឈើ 8ហ៊ុន",,2.0000,
SP0027,"ដែកគោលឈើ 1តឹក",,2.0000,
SP0028,"ដែកគោលបេតុង 3ហ៊ុន",,53.0000,
SP0029,"ដែកគោលបេតុង 4ហ៊ុន",,0.0000,
SP0030,"ដែកគោលបេតុង​ 5ហ៊ុន",,71.0000,
SP0031,"ដែកតាកេចាប់អន្ទាសុវត្ថភាព Size 3/8 12Li",,0.0000,
SP0032,"ទឹកខ្មៅសំរាប់ដាក់ Line",,20.0000,
SP0033,"ធូបផ្សាដែកថែប RB.26",,0.0000,
SP0034,"ធូបផ្សាដែកធម្មតា RB2.5mmx300mm",,20.0000,
SP0035,"ប៊ូឡុងចាប់កាប 8លី-កណ្តាល",,0.0000,
SP0036,ប៊ូឡុងចាប់កាប-ធំ,,0.0000,
SP0037,ប៊ូឡុងចាប់កាប-តូច,,0.0000,
SP0038,ប៊ូឡុងដើម10លីx1ម៉ែត្រ,,0.0000,
SP0039,"ប៊ូឡុងលេខ 12លី x2ម៉ែត្រ",,0.0000,
SP0040,បាដាងម៉ូទ័រពន្លាដែក,,0.0000,
SP0041,"ផ្លែកាត់ការ៉ូបេតុង​​ 1តឹក",,0.0000,
SP0042,"ផ្លែកាត់ការ៉ូបេតុង​ 1.8តឹក",,0.0000,
SP0043,"ផ្លែកាត់ដែក 350x3x24.5mm-ធំ",,31.0000,
SP0044,"ផ្លែកាត់ដែក 1តឹក",,145.0000,
SP0045,"ផ្លែឆាបដែក 1តឹក",,100.0000,
SP0046,"ផ្លែខាត់បេតុង 100x6x16",,0.0000,
SP0047,"ផ្លែឆាបបេតុង 4Li (Benz werks)",,0.0000,
SP0048,ផ្លែម៉ាស៊ីនកាត់ម៉ាប(បេតុង)១តឹក,,0.0000,
SP0049,"ផ្លែម៉ូទ័រកាត់ឈើ​​ 1តឹក",,0.0000,
SP0050,"ផ្លែម៉ូទ័រកាត់ឈើ 1.8តឹក",,48.0000,
SP0051,ផ្លែម៉ូទ័រខាត់បេតុង,,0.0000,
SP0052,"ផ្លែម៉ូទ័រស្វានបេតុង 6លី",,80.0000,
SP0053,"ផ្លែម៉ូទ័រស្វានបេតុង 8លី",,74.0000,
SP0054,"ផ្លែម៉ូទ័រស្វានបេតុង​ 10លី",,68.0000,
SP0055,"ផ្លែម៉ូទ័រស្វានបេតុង 12លី",,51.0000,
SP0056,"ផ្លែម៉ូទ័រស្វានបេតុង 16លី",,0.0000,
SP0057,"ផ្លែម៉ូទ័រស្វានបេតុង 17លី",,0.0000,
SP0058,"ផ្លែម៉ូទ័រស្វានបេតុង 18លី",,0.0000,
SP0059,"ផ្លែម៉ូទ័រស្វានបេតុង 20លី",,0.0000,
SP0060,"ផ្លែម៉ូទ័រស្វានបេតុង 21លី",,0.0000,
SP0061,"ផ្លែម៉ូទ័រស្វានបេតុង 14លី",,0.0000,
SP0062,"ផ្លែបុកបំបែក 14mmx250mm",,0.0000,
SP0063,"ផ្លែម៉ូទ័រស្វានបុក 20mmx210mm",,0.0000,
SP0064,"ឌីខុន ត្រណបូឡុងរិតពុម្ព",,0.0000,
SP0065,"វិសប៉ាញ់ស័ង្គសី ដែក​ 3mm+D45",,0.0000,
SP0066,"វិសប៉ាញ់ស័ង្គសី ដែក​ 5mm",,0.0000,
SP0067,ស៊ីកាស្វានដែក,,0.0000,
SP0068,ស្គត់ក្រដាស់,,0.0000,
SP0069,"ស្គត់ក្រណាត់-ក្រហម-ខៀវ 3ហ៊ុន ( ១សុង = ៨ Pcs)",,128.0000,
SP0070,ស្គត់ជ័រតូច,,0.0000,
SP0071,អេប៉ុងសីរៀបបូកឥដ្ឋ,,74.0000,
SP0072,"ថ្មវិទ្យុ 555",,0.0000,
SP0073,"ខ្សែនីឡុងតាន់លេខ 60",,0.0000,
SP0074,"ខ្សែនីឡុងតាន់លេខ 70",,0.0000,
SP0075,"ខ្សែនីឡុងតាន់លេខ 80",,0.0000,
SP0076,"ខ្សែនីឡុងតាន់លេខ 90",,76.0000,
SP0077,ញញួរជំពុះទា-តូច,,18.0000,
SP0078,"ម៉ែតខ្សែរុំ 5ម៉ែត",,23.0000,
SP0079,"ម៉ែតខ្សែរុំ 7.5ម៉ែត",,36.0000,
SP0080,"ក្រចាប់បំបែកខ្សែភ្លើង SEFAG G.35mm",,0.0000,
SP0081,គូជព្រីភ្លើង,,8.0000,
SP0082,ដុយដោតភ្លើង,,59.0000,
SP0083,ដុយដោតភ្លើងញី,,0.0000,
SP0084,"ដុំបំបែកភ្លើង 60AM600V",,0.0000,
SP0085,"ព្រីភ្លើង 3​ រន្ធ",,15.0000,
SP0086,ព្រីភ្លើងឈ្មោល,,0.0000,
SP0087,ស្គត់រុំខ្សែភ្លើងខ្មៅ,,20.0000,
SP0088,"អំពូលភ្លើងឈុត 1.2m",,24.0000,
SP0089,ជក់លាបថ្នាំ,,0.0000,
SP0090,រ៉ូឡូរុញលាបថ្នាំ,,0.0000,
SP0091,"ស្រ្ពៃបាញ់ថ្នាំពណ៏ក្រហម U90",,30.0000,
SP0092,ស្គត់ទឹក,,0.0000,
SP0093,ដុយប៉ុសផ្សាឈ្មោលតូច,,0.0000,
SP0094,ដុយប៉ុសផ្សាឈ្មោលធំ,,0.0000,
SP0095,ដុយប៉ុសផ្សាញីតូច,,0.0000,
SP0096,ដុយប៉ុសផ្សាញីធំ,,0.0000,
SP0097,កាវញីឈ្មោលបិតដែក,,0.0000,
SP0098,ផ្លែកាំបិតកាត់ទ័រ,,10.0000,
SP0099,កាវបិតសរស,,0.0000,
SP0100,កាវបិតទុយោ,,1.0000,
SP0101,"អំពូលភ្លើល 0.80",,0.0000,
SP0102,"អំពូលភ្លើងហ្វា 1000W (អំពូល)",,0.0000,
SP0103,ទុយោថ្លឹងទឹក​,,0.0000,
SP0104,"ព្រីភ្លើងរន្ធ2 កុងតាក់1",,0.0000,
SP0105,ព្រីភ្លើងរន្ធ2កុងតាក់2,,0.0000,
SP0106,ទុយោស្ទង់ទឹក,,0.0000,
SP0107,ក្បាលបាញ់វីស,,0.0000,
SP0108,"អំពូលម៉ែត្រ 6តឹក",,0.0000,
